token_id,fold
a1h-fragment06_122_9,0
a1h-fragment06_122_11,6
a1h-fragment06_122_15,8
a1h-fragment06_122_18,6
a1h-fragment06_122_19,2
a1h-fragment06_123_2,3
a1h-fragment06_123_5,4
a1h-fragment06_123_6,9
a1h-fragment06_123_8,7
a1h-fragment06_123_9,6
a1h-fragment06_123_12,8
a1h-fragment06_123_13,4
a1h-fragment06_123_14,2
a1h-fragment06_123_16,1
a1h-fragment06_123_17,7
a1h-fragment06_123_19,6
a1h-fragment06_123_20,7
a1h-fragment06_124_6,7
a1h-fragment06_124_7,9
a1h-fragment06_124_8,3
a1h-fragment06_124_10,4
a1h-fragment06_124_11,2
a1h-fragment06_124_14,4
a1h-fragment06_124_15,4
a1h-fragment06_124_17,2
a1h-fragment06_124_19,3
a1h-fragment06_124_21,7
a1h-fragment06_124_24,2
a1h-fragment06_124_26,9
a1h-fragment06_124_27,0
a1h-fragment06_124_28,9
a1h-fragment06_124_30,7
a1h-fragment06_124_31,1
a1h-fragment06_124_32,0
a1h-fragment06_124_36,9
a1h-fragment06_125_3,7
a1h-fragment06_125_5,6
a1h-fragment06_125_7,6
a1h-fragment06_125_8,3
a1h-fragment06_125_14,6
a1h-fragment06_125_15,9
a1h-fragment06_125_18,0
a1h-fragment06_125_19,2
a1h-fragment06_125_21,1
a1h-fragment06_125_24,0
a1h-fragment06_125_27,3
a1h-fragment06_125_28,1
a1h-fragment06_125_30,4
a1h-fragment06_126_1,3
a1h-fragment06_126_5,7
a1h-fragment06_126_6,3
a1h-fragment06_126_7,9
a1h-fragment06_126_9,4
a1h-fragment06_126_10,1
a1h-fragment06_126_13,9
a1h-fragment06_126_15,7
a1h-fragment06_126_18,6
a1h-fragment06_126_20,3
a1h-fragment06_126_21,1
a1h-fragment06_127_3,7
a1h-fragment06_127_5,3
a1h-fragment06_127_6,7
a1h-fragment06_127_7,4
a1h-fragment06_127_9,4
a1h-fragment06_127_12,9
a1h-fragment06_127_15,5
a1h-fragment06_127_16,7
a1h-fragment06_127_17,2
a1h-fragment06_127_19,8
a1h-fragment06_127_21,4
a1h-fragment06_127_23,1
a1h-fragment06_127_26,5
a1h-fragment06_128_1,0
a1h-fragment06_128_3,8
a1h-fragment06_128_6,8
a1h-fragment06_128_8,2
a1h-fragment06_128_10,6
a1h-fragment06_128_14,2
a1h-fragment06_128_17,7
a1h-fragment06_129_2,0
a1h-fragment06_129_5,0
a1h-fragment06_129_6,0
a1h-fragment06_129_9,1
a1h-fragment06_129_10,7
a1h-fragment06_129_11,8
a1h-fragment06_129_14,0
a1h-fragment06_129_17,1
a1h-fragment06_129_18,8
a1h-fragment06_129_20,8
a1h-fragment06_129_21,7
a1h-fragment06_129_22,4
a1h-fragment06_129_25,4
a1h-fragment06_130_2,4
a1h-fragment06_130_5,8
a1h-fragment06_130_9,1
a1h-fragment06_130_12,5
a1h-fragment06_130_14,3
a1h-fragment06_130_16,4
a1h-fragment06_130_19,2
a1h-fragment06_130_20,2
a1h-fragment06_131_2,8
a1h-fragment06_131_3,4
a1h-fragment06_131_4,1
a1h-fragment06_131_7,4
a1h-fragment06_131_8,3
a1h-fragment06_131_12,6
a1h-fragment06_131_13,6
a1h-fragment06_131_15,7
a1h-fragment06_131_20,7
a1h-fragment06_131_23,3
a1h-fragment06_132_2,6
a1h-fragment06_132_3,9
a1h-fragment06_132_5,1
a1h-fragment06_132_7,2
a1h-fragment06_132_8,4
a1h-fragment06_132_10,3
a1h-fragment06_132_12,3
a1h-fragment06_132_13,0
a1h-fragment06_132_15,1
a1h-fragment06_132_16,2
a1h-fragment06_132_18,7
a1h-fragment06_132_19,9
a1h-fragment06_133_1,0
a1h-fragment06_133_3,4
a1h-fragment06_133_5,7
a1h-fragment06_133_7,8
a1h-fragment06_133_8,5
a1h-fragment06_133_9,3
a1h-fragment06_133_14,1
a1h-fragment06_133_17,2
a1h-fragment06_133_19,7
a1h-fragment06_133_22,9
a1h-fragment06_133_23,2
a1h-fragment06_133_26,1
a1h-fragment06_133_30,8
a1h-fragment06_133_33,1
a1h-fragment06_133_35,4
a1h-fragment06_133_37,7
a1h-fragment06_133_40,7
a1h-fragment06_133_41,6
a1h-fragment06_134_5,4
a1h-fragment06_134_7,5
a1h-fragment06_134_10,7
a1h-fragment06_134_11,2
a1h-fragment06_134_12,3
a1h-fragment06_134_13,6
a1h-fragment06_134_14,5
a1h-fragment06_134_16,1
a1h-fragment06_134_18,7
a1h-fragment06_134_19,3
a1h-fragment06_134_22,7
a1h-fragment06_134_23,2
a1h-fragment06_134_26,4
a1h-fragment06_134_29,8
a1h-fragment06_134_30,8
a1h-fragment06_135_2,3
a1h-fragment06_135_4,2
a1h-fragment06_135_7,1
a1h-fragment06_135_9,2
a1h-fragment06_135_11,7
a1h-fragment06_135_13,0
a1h-fragment06_135_14,3
a1h-fragment06_135_15,9
a1h-fragment06_135_17,3
a1h-fragment06_135_19,8
a1h-fragment06_135_21,4
a1h-fragment06_135_22,5
a1h-fragment06_135_23,4
a1h-fragment06_135_26,0
a1h-fragment06_135_27,1
a1h-fragment06_135_30,5
a1h-fragment06_135_32,5
a1h-fragment06_136_2,4
a1h-fragment06_136_4,6
a1h-fragment06_136_8,8
a1h-fragment06_136_9,2
a1h-fragment06_136_12,4
a1h-fragment06_136_14,3
a1h-fragment06_136_16,3
a1h-fragment06_136_20,5
a1h-fragment06_136_21,4
a1h-fragment06_136_24,9
a1h-fragment06_137_3,4
a1h-fragment06_137_5,1
a1h-fragment06_137_7,6
a1h-fragment06_137_9,6
a1h-fragment06_137_10,9
a1h-fragment06_137_12,8
a1h-fragment06_137_14,1
a1h-fragment06_137_15,3
a1h-fragment06_137_16,8
a1h-fragment06_137_18,0
a1h-fragment06_137_20,3
a1h-fragment06_137_21,1
a1h-fragment06_137_23,7
a1h-fragment06_137_25,7
a1h-fragment06_137_26,8
a1h-fragment06_137_28,2
a1h-fragment06_138_2,7
a1h-fragment06_138_5,9
a1h-fragment06_138_7,9
a1h-fragment06_138_8,6
a1h-fragment06_138_12,7
a1h-fragment06_138_13,8
a1h-fragment06_138_15,5
a1h-fragment06_138_17,4
a1h-fragment06_138_20,2
a1h-fragment06_138_22,2
a1h-fragment06_138_23,2
a1h-fragment06_138_24,5
a1h-fragment06_138_25,4
a1h-fragment06_139_2,7
a1h-fragment06_139_5,2
a1h-fragment06_139_8,5
a1h-fragment06_139_10,1
a1h-fragment06_139_12,2
a1h-fragment06_139_15,0
a1h-fragment06_139_17,8
a1h-fragment06_139_19,2
a1h-fragment06_139_21,4
a1h-fragment06_139_22,5
a1h-fragment06_139_25,1
a1h-fragment06_139_26,0
a1h-fragment06_139_28,4
a1h-fragment06_140_7,7
a1h-fragment06_140_8,2
a1h-fragment06_140_10,1
a1h-fragment06_140_12,7
a1h-fragment06_140_13,9
a1h-fragment06_140_14,8
a1h-fragment06_140_17,9
a1h-fragment06_141_3,7
a1h-fragment06_141_6,5
a1h-fragment06_141_7,5
a1h-fragment06_141_9,3
a1h-fragment06_141_13,3
a1h-fragment06_141_15,9
a1h-fragment06_141_17,7
a1h-fragment06_141_20,4
a1h-fragment06_141_24,5
a1h-fragment06_141_27,0
a1h-fragment06_141_29,2
a1h-fragment06_141_33,4
a1h-fragment06_141_34,3
a1h-fragment06_141_37,1
a1h-fragment06_141_38,9
a1h-fragment06_142_2,3
a1h-fragment06_142_3,9
a1h-fragment06_142_5,6
a1h-fragment06_142_9,5
a1h-fragment06_142_13,9
a1h-fragment06_142_15,4
a1h-fragment06_142_16,3
a1h-fragment06_142_17,8
a1h-fragment06_142_21,0
a1h-fragment06_142_25,2
a1h-fragment06_142_26,4
a1h-fragment06_142_29,9
a1h-fragment06_142_30,2
a1h-fragment06_142_34,5
a1h-fragment06_142_35,2
a1h-fragment06_142_38,8
a1h-fragment06_143_3,8
a1h-fragment06_143_4,7
a1h-fragment06_143_6,5
a1h-fragment06_143_8,0
a1h-fragment06_143_10,8
a1h-fragment06_143_13,4
a1h-fragment06_143_15,1
a1h-fragment06_143_17,8
a1h-fragment06_143_18,3
a1h-fragment06_144_4,4
a1h-fragment06_144_8,3
a1h-fragment06_144_10,9
a1h-fragment06_144_13,1
a1h-fragment06_144_14,8
a1h-fragment06_144_15,2
a1h-fragment06_144_16,7
a1h-fragment06_144_18,8
a1h-fragment06_144_20,1
a1h-fragment06_144_22,5
a1h-fragment06_144_23,1
a1h-fragment06_144_27,5
a1h-fragment06_144_29,4
a1h-fragment06_144_32,3
a1h-fragment06_144_35,6
a1h-fragment06_144_40,8
a1h-fragment06_144_42,6
a3c-fragment05_186_1,1
a3c-fragment05_186_3,3
a3c-fragment05_186_5,1
a3c-fragment05_186_8,7
a3c-fragment05_186_12,3
a3c-fragment05_186_16,5
a3c-fragment05_186_17,3
a3c-fragment05_186_20,0
a3c-fragment05_186_22,0
a3c-fragment05_186_25,9
a3c-fragment05_186_26,9
a3c-fragment05_187_3,0
a3c-fragment05_187_6,6
a3c-fragment05_187_7,3
a3c-fragment05_187_9,1
a3c-fragment05_187_10,4
a3c-fragment05_187_11,4
a3c-fragment05_187_13,1
a3c-fragment05_188_2,6
a3c-fragment05_188_3,0
a3c-fragment05_189_1,0
a3c-fragment05_189_2,4
a3c-fragment05_189_5,9
a3c-fragment05_190_2,4
a3c-fragment05_190_4,5
a3c-fragment05_190_6,7
a3c-fragment05_190_8,6
a3c-fragment05_190_11,0
a3c-fragment05_190_14,0
a3c-fragment05_190_16,9
a3c-fragment05_190_17,1
a3c-fragment05_190_19,0
a3c-fragment05_190_22,2
a3c-fragment05_190_25,3
a3c-fragment05_190_28,9
a3c-fragment05_190_30,9
a3c-fragment05_190_32,9
a3c-fragment05_190_35,7
a3c-fragment05_190_37,7
a3c-fragment05_190_38,4
a3c-fragment05_191_4,5
a3c-fragment05_191_7,4
a3c-fragment05_191_10,7
a3c-fragment05_191_13,4
a3c-fragment05_191_14,1
a3c-fragment05_191_15,7
a3c-fragment05_191_16,6
a3c-fragment05_192_1,1
a3c-fragment05_192_6,0
a3c-fragment05_193_2,1
a3c-fragment05_193_5,1
a3c-fragment05_193_8,4
a3c-fragment05_193_11,9
a3c-fragment05_193_13,4
a3c-fragment05_193_15,2
a3c-fragment05_193_18,9
a3c-fragment05_193_20,9
a3c-fragment05_193_23,6
a3c-fragment05_193_25,3
a3c-fragment05_193_28,9
a3c-fragment05_193_30,3
a3c-fragment05_193_33,7
a3c-fragment05_193_35,0
a3c-fragment05_193_37,7
a3c-fragment05_193_41,6
a3c-fragment05_193_44,0
a3c-fragment05_193_45,3
a3c-fragment05_193_47,7
a3c-fragment05_193_48,0
a3c-fragment05_194_4,8
a3c-fragment05_195_2,6
a3c-fragment05_195_8,5
a3c-fragment05_195_11,7
a3c-fragment05_195_15,2
a3c-fragment05_195_18,5
a3c-fragment05_195_20,1
a3c-fragment05_195_23,3
a3c-fragment05_195_25,6
a3c-fragment05_195_28,3
a3c-fragment05_195_29,2
a3c-fragment05_195_31,4
a3c-fragment05_195_32,4
a3c-fragment05_196_2,3
a3c-fragment05_196_5,1
a3c-fragment05_196_8,6
a3c-fragment05_196_12,7
a3c-fragment05_196_13,9
a3c-fragment05_197_5,4
a3c-fragment05_197_8,8
a3c-fragment05_197_12,4
a3c-fragment05_197_17,0
a3c-fragment05_197_20,3
a3c-fragment05_197_21,2
a3c-fragment05_197_22,9
a3c-fragment05_198_4,1
a3c-fragment05_198_5,6
a3c-fragment05_198_8,5
a3c-fragment05_198_10,5
a3c-fragment05_198_12,6
a3c-fragment05_198_18,6
a3c-fragment05_199_2,2
a3c-fragment05_199_6,6
a3c-fragment05_199_8,1
a3c-fragment05_199_13,0
a3c-fragment05_199_14,3
a3c-fragment05_199_22,0
a3c-fragment05_200_4,2
a3c-fragment05_200_6,0
a3c-fragment05_200_7,6
a3c-fragment05_200_8,8
a3c-fragment05_200_10,2
a3c-fragment05_201_4,9
a3c-fragment05_201_11,7
a3c-fragment05_202_4,4
a3c-fragment05_202_6,3
a3c-fragment05_202_8,9
a3c-fragment05_202_13,5
a3c-fragment05_202_14,0
a3c-fragment05_202_16,5
a3c-fragment05_202_18,0
a3c-fragment05_202_19,8
a3c-fragment05_202_20,9
a3c-fragment05_203_1,1
a3c-fragment05_203_2,7
a3c-fragment05_203_4,6
a3c-fragment05_203_5,4
a3c-fragment05_203_7,7
a3c-fragment05_203_9,6
a3c-fragment05_203_11,9
a3c-fragment05_203_16,2
a3c-fragment05_204_5,0
a3c-fragment05_204_7,1
a3c-fragment05_204_10,5
a3c-fragment05_204_13,2
a3c-fragment05_204_19,2
a3c-fragment05_204_22,9
a3c-fragment05_204_25,8
a3c-fragment05_205_1,6
a3c-fragment05_205_3,4
a3c-fragment05_205_8,5
a3c-fragment05_205_10,5
a3c-fragment05_205_11,0
a3c-fragment05_205_12,1
a3c-fragment05_205_14,6
a3c-fragment05_206_1,5
a3c-fragment05_206_3,9
a3c-fragment05_206_5,2
a3c-fragment05_207_4,3
a3c-fragment05_207_7,8
a3c-fragment05_207_9,3
a3c-fragment05_207_10,7
a3c-fragment05_208_4,7
a3c-fragment05_209_4,6
a3c-fragment05_209_8,9
a3c-fragment05_209_11,0
a3c-fragment05_209_12,0
a3c-fragment05_210_1,0
a3c-fragment05_210_4,4
a3c-fragment05_210_8,3
a3c-fragment05_210_10,9
a3c-fragment05_211_1,6
a3c-fragment05_211_3,7
a3c-fragment05_211_5,1
a3c-fragment05_211_8,4
a3c-fragment05_211_10,1
a3c-fragment05_211_11,9
a3c-fragment05_211_15,6
a3c-fragment05_211_16,2
a3c-fragment05_211_18,5
a3c-fragment05_211_22,2
a3c-fragment05_212_1,8
a3c-fragment05_212_4,7
a3c-fragment05_212_5,1
a3c-fragment05_212_7,4
a3c-fragment05_212_9,6
a3c-fragment05_212_10,4
a3c-fragment05_212_11,4
a3c-fragment05_212_12,5
a3c-fragment05_213_3,4
a3c-fragment05_213_4,6
a3c-fragment05_213_6,3
a3c-fragment05_213_10,4
a3c-fragment05_213_11,2
a3c-fragment05_214_2,0
a3c-fragment05_214_5,0
a3c-fragment05_214_9,2
a3c-fragment05_214_11,6
a3c-fragment05_214_13,6
a3c-fragment05_215_1,5
a3c-fragment05_215_3,7
a3c-fragment05_215_5,9
a3c-fragment05_215_6,5
a3c-fragment05_215_8,4
a3c-fragment05_215_9,2
a3c-fragment05_215_11,7
a3c-fragment05_215_12,6
a3c-fragment05_215_15,9
a3c-fragment05_216_4,1
a3c-fragment05_216_7,1
a3c-fragment05_217_5,1
a3c-fragment05_217_6,0
a3c-fragment05_217_8,6
a3c-fragment05_217_11,3
a3c-fragment05_217_14,2
a3c-fragment05_217_15,2
a3c-fragment05_217_16,7
a3c-fragment05_217_18,2
a3c-fragment05_217_19,8
a3c-fragment05_218_2,4
a3c-fragment05_218_7,1
a3c-fragment05_218_10,4
a3c-fragment05_218_12,9
a3c-fragment05_218_13,2
a3c-fragment05_218_14,1
a3c-fragment05_219_3,6
a3c-fragment05_219_4,1
a3c-fragment05_219_6,0
a3c-fragment05_219_11,8
a3c-fragment05_219_13,2
a3c-fragment05_219_14,6
a3c-fragment05_219_15,8
a3c-fragment05_219_17,5
a3c-fragment05_219_20,4
a3c-fragment05_219_21,7
a3c-fragment05_219_23,1
a3c-fragment05_219_24,1
a3c-fragment05_219_26,8
a3c-fragment05_219_28,8
a3c-fragment05_219_29,3
a3c-fragment05_219_32,2
a3c-fragment05_219_34,7
a3c-fragment05_219_36,1
a3c-fragment05_219_40,6
a3c-fragment05_219_43,3
a3c-fragment05_219_46,1
a3c-fragment05_220_3,6
a3c-fragment05_221_3,4
a3c-fragment05_222_2,3
a3c-fragment05_222_7,3
a3c-fragment05_222_9,5
a3c-fragment05_222_10,3
a3c-fragment05_222_12,0
a3c-fragment05_222_14,3
a3c-fragment05_222_15,5
a3c-fragment05_222_17,7
a3c-fragment05_222_20,0
a3c-fragment05_222_21,3
a3c-fragment05_222_22,2
a3c-fragment05_222_25,8
a3c-fragment05_222_27,6
a3c-fragment05_222_28,5
a3c-fragment05_222_32,9
a3c-fragment05_222_34,2
a3c-fragment05_222_37,6
a3c-fragment05_222_38,7
a3c-fragment05_223_1,0
a3c-fragment05_223_3,8
a3c-fragment05_223_4,2
a3c-fragment05_223_5,2
a3c-fragment05_223_6,5
a3c-fragment05_223_8,0
a3c-fragment05_223_9,4
a3c-fragment05_223_11,0
a3c-fragment05_223_14,3
a3c-fragment05_223_17,9
a3c-fragment05_223_18,0
a3c-fragment05_223_21,8
a3c-fragment05_223_22,5
a3c-fragment05_223_24,9
a3c-fragment05_223_28,4
a3c-fragment05_223_33,4
a3c-fragment05_223_34,9
a3c-fragment05_224_3,7
a3c-fragment05_224_4,2
a3c-fragment05_224_6,9
a3c-fragment05_224_7,8
a3c-fragment05_224_8,4
a3c-fragment05_224_11,0
a3c-fragment05_224_12,6
a3c-fragment05_224_14,4
a3c-fragment05_224_18,8
a3c-fragment05_224_21,2
a3c-fragment05_224_23,8
a3c-fragment05_224_24,7
a3c-fragment05_224_27,9
a3c-fragment05_224_29,6
a3c-fragment05_225_2,5
a3c-fragment05_225_5,6
a3c-fragment05_225_8,6
a3c-fragment05_225_10,4
a3c-fragment05_225_12,9
a3c-fragment05_225_21,1
a3c-fragment05_225_23,9
a3c-fragment05_225_25,8
a3c-fragment05_225_27,7
a3c-fragment05_225_28,5
a3c-fragment05_225_30,9
a3c-fragment05_225_31,6
a3c-fragment05_226_2,6
a3c-fragment05_226_3,1
a3c-fragment05_226_6,1
a3c-fragment05_226_8,6
a3c-fragment05_226_12,0
a3c-fragment05_226_14,4
a3c-fragment05_227_2,7
a3c-fragment05_227_3,8
a3c-fragment05_227_5,2
a3c-fragment05_227_8,7
a3c-fragment05_227_10,7
a3c-fragment05_228_2,1
a3c-fragment05_228_4,1
a3c-fragment05_228_5,9
a3c-fragment05_228_7,6
a3c-fragment05_228_9,8
a3c-fragment05_228_11,3
a3c-fragment05_228_12,4
a3c-fragment05_228_19,6
a3c-fragment05_228_21,6
a3c-fragment05_228_22,5
a3c-fragment05_228_23,6
a3c-fragment05_229_1,6
a3c-fragment05_229_2,9
a3c-fragment05_229_3,1
a3c-fragment05_229_5,6
a3c-fragment05_229_6,1
a3c-fragment05_229_7,6
a3c-fragment05_229_12,2
a3c-fragment05_229_15,2
a3c-fragment05_229_16,9
a3c-fragment05_230_3,5
a3c-fragment05_230_7,6
a3c-fragment05_230_10,0
a3c-fragment05_230_13,5
a3c-fragment05_230_18,8
a3c-fragment05_230_19,1
a3c-fragment05_231_6,2
a3c-fragment05_231_7,3
a3c-fragment05_231_8,1
a3c-fragment05_231_13,5
a3c-fragment05_231_16,7
a3c-fragment05_231_17,3
a3c-fragment05_231_21,9
a3c-fragment05_231_24,6
a3c-fragment05_232_1,2
a3c-fragment05_232_4,7
a3c-fragment05_232_5,6
a3c-fragment05_232_6,8
a3c-fragment05_232_7,0
a3c-fragment05_232_9,7
a3c-fragment05_233_3,0
a3c-fragment05_233_5,3
a3c-fragment05_233_9,8
a3c-fragment05_233_10,9
a3c-fragment05_233_12,3
a3c-fragment05_234_1,2
a3c-fragment05_234_3,1
a3c-fragment05_234_4,0
a3c-fragment05_234_6,4
a3c-fragment05_234_8,8
a3c-fragment05_234_10,0
a3c-fragment05_235_4,7
a3c-fragment05_235_5,1
a3c-fragment05_235_7,3
a3c-fragment05_235_10,5
a3c-fragment05_235_11,7
a3c-fragment05_235_12,0
a3c-fragment05_235_15,1
a3c-fragment05_235_19,6
a3c-fragment05_235_21,7
a3c-fragment05_235_24,2
a3c-fragment05_235_25,3
a3c-fragment05_236_4,8
a3c-fragment05_236_6,0
a3c-fragment05_236_12,8
a3c-fragment05_236_14,4
a3c-fragment05_236_17,2
a3c-fragment05_236_18,6
a3c-fragment05_236_20,6
a3c-fragment05_236_23,2
a3c-fragment05_236_26,5
a3c-fragment05_237_4,9
a3c-fragment05_237_8,5
a3c-fragment05_238_7,1
a3c-fragment05_238_8,2
a3c-fragment05_238_10,6
a3c-fragment05_238_14,7
a3c-fragment05_238_16,0
a3c-fragment05_238_17,3
a3c-fragment05_239_2,2
a3c-fragment05_239_4,7
a3c-fragment05_239_5,0
a3c-fragment05_239_8,1
a3c-fragment05_239_9,1
a3c-fragment05_239_14,1
a3c-fragment05_239_17,9
a3c-fragment05_239_20,1
a3c-fragment05_240_3,7
a3c-fragment05_240_5,4
a3c-fragment05_240_8,5
a3c-fragment05_240_9,7
a3c-fragment05_240_10,1
a3c-fragment05_240_11,0
a3c-fragment05_240_13,5
a3c-fragment05_240_15,1
a3c-fragment05_240_16,8
a3c-fragment05_240_17,6
a3c-fragment05_241_6,6
a3c-fragment05_241_8,8
a3c-fragment05_241_12,5
a3c-fragment05_241_13,0
a3c-fragment05_242_1,9
a3c-fragment05_242_3,6
a3c-fragment05_242_4,2
a3c-fragment05_242_7,4
a3c-fragment05_242_10,6
a3c-fragment05_242_13,8
a3c-fragment05_243_5,3
a3c-fragment05_243_8,1
a3c-fragment05_244_6,8
a3c-fragment05_244_9,0
a3c-fragment05_244_12,0
a3c-fragment05_244_14,7
a3c-fragment05_244_17,0
a3c-fragment05_244_18,8
a3c-fragment05_245_1,0
a3c-fragment05_245_9,8
a3c-fragment05_245_11,7
a3c-fragment05_245_13,9
a3c-fragment05_245_15,7
a3c-fragment05_246_3,3
a3c-fragment05_246_4,9
a3c-fragment05_246_8,5
a3c-fragment05_246_11,3
a3c-fragment05_246_18,1
a3c-fragment05_246_21,9
a3c-fragment05_247_6,6
a3c-fragment05_247_7,2
a3c-fragment05_247_10,1
a3c-fragment05_247_13,0
a3c-fragment05_248_6,9
a3c-fragment05_248_8,5
a3c-fragment05_248_10,0
a3c-fragment05_248_13,6
a3c-fragment05_249_1,6
a3c-fragment05_249_5,6
a3c-fragment05_249_10,2
a3c-fragment05_249_11,6
a3c-fragment05_249_14,9
a3c-fragment05_249_17,3
a3c-fragment05_249_19,3
a3c-fragment05_249_21,6
a3c-fragment05_250_3,3
a3c-fragment05_250_6,4
a3c-fragment05_251_3,7
a3c-fragment05_251_5,8
a3c-fragment05_251_7,4
a3c-fragment05_252_1,2
a3c-fragment05_252_4,6
a3c-fragment05_252_6,0
a3c-fragment05_253_4,8
a3c-fragment05_253_7,9
a3c-fragment05_253_10,3
a3c-fragment05_253_11,8
a3c-fragment05_253_14,5
a3c-fragment05_253_15,3
a3c-fragment05_253_17,9
a3c-fragment05_253_18,7
a3c-fragment05_254_2,2
a3c-fragment05_254_5,9
a3c-fragment05_255_5,7
a3c-fragment05_255_7,4
a3c-fragment05_255_12,8
a7s-fragment03_39_1,7
a7s-fragment03_39_4,8
a7s-fragment03_39_5,1
a7s-fragment03_40_2,6
a7s-fragment03_40_3,8
a7s-fragment03_41_4,1
a7s-fragment03_41_7,0
a7s-fragment03_41_10,8
a7s-fragment03_41_13,5
a7s-fragment03_41_14,9
a7s-fragment03_41_16,7
a7s-fragment03_42_3,0
a7s-fragment03_42_4,8
a7s-fragment03_42_6,4
a7s-fragment03_42_8,3
a7s-fragment03_42_9,1
a7s-fragment03_42_14,8
a7s-fragment03_42_16,2
a7s-fragment03_42_18,8
a7s-fragment03_42_19,5
a7s-fragment03_42_20,1
a7s-fragment03_42_22,4
a7s-fragment03_42_23,8
a7s-fragment03_42_26,1
a7s-fragment03_42_30,0
a7s-fragment03_42_32,4
a7s-fragment03_42_33,4
a7s-fragment03_42_34,2
a7s-fragment03_42_37,2
a7s-fragment03_42_39,2
a7s-fragment03_42_40,6
a7s-fragment03_42_45,1
a7s-fragment03_42_47,8
a7s-fragment03_42_51,5
a7s-fragment03_42_53,9
a7s-fragment03_43_2,2
a7s-fragment03_43_4,9
a7s-fragment03_43_7,9
a7s-fragment03_43_8,4
a7s-fragment03_43_9,1
a7s-fragment03_43_12,8
a7s-fragment03_43_14,9
a7s-fragment03_43_15,9
a7s-fragment03_43_18,5
a7s-fragment03_43_20,7
a7s-fragment03_43_22,6
a7s-fragment03_43_27,3
a7s-fragment03_43_28,4
a7s-fragment03_43_29,3
a7s-fragment03_43_31,7
a7s-fragment03_43_35,6
a7s-fragment03_44_1,6
a7s-fragment03_44_4,4
a7s-fragment03_44_5,7
a7s-fragment03_44_7,3
a7s-fragment03_44_12,0
a7s-fragment03_44_13,9
a7s-fragment03_44_16,8
a7s-fragment03_44_17,1
a7s-fragment03_44_21,7
a7s-fragment03_44_23,4
a7s-fragment03_44_27,4
a7s-fragment03_44_29,4
a7s-fragment03_44_34,1
a7s-fragment03_44_37,0
a7s-fragment03_45_4,8
a7s-fragment03_45_5,7
a7s-fragment03_45_7,5
a7s-fragment03_45_10,9
a7s-fragment03_45_13,6
a7s-fragment03_45_14,7
a7s-fragment03_45_16,6
a7s-fragment03_45_18,0
a7s-fragment03_45_19,4
a7s-fragment03_46_2,8
a7s-fragment03_46_4,9
a7s-fragment03_46_5,1
a7s-fragment03_46_8,3
a7s-fragment03_46_9,2
a7s-fragment03_46_10,8
a7s-fragment03_46_13,1
a7s-fragment03_46_17,2
a7s-fragment03_46_20,0
a7s-fragment03_46_21,3
a7s-fragment03_46_26,5
a7s-fragment03_46_27,2
a7s-fragment03_47_3,9
a7s-fragment03_47_7,7
a7s-fragment03_47_10,6
a7s-fragment03_48_3,9
a7s-fragment03_48_6,9
a7s-fragment03_48_8,9
a7s-fragment03_48_10,5
a7s-fragment03_48_13,2
a7s-fragment03_48_14,2
a7s-fragment03_48_18,2
a7s-fragment03_48_20,9
